,V,I,R
0,0.0,-9.41753e-11,921632820.6983831
1,-0.5,-6.3777e-10,921632820.6983831
2,-1.0,-1.17183e-09,921632820.6983831
3,-1.5,-1.71304e-09,921632820.6983831
4,-2.0,-2.25782e-09,921632820.6983831
5,-2.5,-2.78473e-09,921632820.6983831
6,-3.0,-3.34263e-09,921632820.6983831
7,-3.5,-3.86715e-09,921632820.6983831
8,-4.0,-4.41551e-09,921632820.6983831
9,-4.5,-4.94838e-09,921632820.6983831
10,-5.0,-5.49078e-09,921632820.6983831
11,-5.5,-6.03199e-09,921632820.6983831
12,-6.0,-6.57797e-09,921632820.6983831
13,-6.5,-7.12037e-09,921632820.6983831
14,-7.0,-7.66039e-09,921632820.6983831
15,-7.5,-8.21471e-09,921632820.6983831
16,-8.0,-8.75354e-09,921632820.6983831
17,-8.5,-9.31263e-09,921632820.6983831
18,-9.0,-9.83477e-09,921632820.6983831
19,-9.5,-1.0407e-08,921632820.6983831
