,Vds,Ids,Vgs
0,0.0,-1.88351e-10,-10
1,-0.5,-7.11431e-07,-10
2,-1.0,-1.27105e-06,-10
3,-1.5,-1.71385e-06,-10
4,-2.0,-2.07721e-06,-10
5,-2.5,-2.36905e-06,-10
6,-3.0,-2.59147e-06,-10
7,-3.5,-2.75525e-06,-10
8,-4.0,-2.86937e-06,-10
9,-4.5,-2.94782e-06,-10
10,-5.0,-3.00227e-06,-10
11,-5.5,-3.04219e-06,-10
12,-6.0,-3.06729e-06,-10
13,-6.5,-3.08388e-06,-10
14,-7.0,-3.09721e-06,-10
15,-7.5,-3.10564e-06,-10
16,-8.0,-3.1136e-06,-10
17,-8.5,-3.11778e-06,-10
18,-9.0,-3.12183e-06,-10
19,-9.5,-3.12175e-06,-10
