,Vmem,Vc
0,0.0,-7.13057
1,-0.5,-7.16759
2,-1.0,-7.17459
3,-1.5,-7.17747
4,-2.0,-7.17719
5,-2.5,-7.17862
6,-3.0,-7.17949
7,-3.5,-7.18104
8,-4.0,-7.18167
9,-4.5,-7.1826
10,-5.0,-7.18379
11,-5.5,-7.18466
12,-6.0,-7.17637
13,-6.5,-7.11393
14,-7.0,-6.92276
15,-7.5,-6.57338
16,-8.0,-6.10722
17,-8.5,-5.52611
18,-9.0,-4.82168
19,-9.5,-4.01606
20,-10.0,-3.1886
21,-10.5,-2.53464
22,-11.0,-2.10407
23,-11.5,-1.81065
24,-12.0,-1.59814
25,-12.5,-1.43724
26,-13.0,-1.31145
27,-13.5,-1.21263
28,-14.0,-1.13503
29,-14.5,-1.07275
