,Vgs,Ids,Vds
0,0.0,-1.14298e-08,-10
1,-0.2,-1.09541e-08,-10
2,-0.4,-1.09196e-08,-10
3,-0.6000000000000001,-1.09208e-08,-10
4,-0.8,-1.09136e-08,-10
5,-1.0,-1.09136e-08,-10
6,-1.2000000000000002,-1.09076e-08,-10
7,-1.4000000000000001,-1.09124e-08,-10
8,-1.6,-1.09076e-08,-10
9,-1.8,-1.09053e-08,-10
10,-2.0,-1.09065e-08,-10
11,-2.2,-1.09029e-08,-10
12,-2.4000000000000004,-1.09065e-08,-10
13,-2.6,-1.09053e-08,-10
14,-2.8000000000000003,-1.09065e-08,-10
15,-3.0,-1.09029e-08,-10
16,-3.2,-1.09065e-08,-10
17,-3.4000000000000004,-1.09041e-08,-10
18,-3.6,-1.09041e-08,-10
19,-3.8000000000000003,-1.09088e-08,-10
20,-4.0,-1.09065e-08,-10
21,-4.2,-1.091e-08,-10
22,-4.4,-1.09458e-08,-10
23,-4.6000000000000005,-1.10817e-08,-10
24,-4.800000000000001,-1.15263e-08,-10
25,-5.0,-1.27482e-08,-10
26,-5.2,-1.54698e-08,-10
27,-5.4,-2.03228e-08,-10
28,-5.6000000000000005,-2.83253e-08,-10
29,-5.800000000000001,-3.98445e-08,-10
30,-6.0,-5.52034e-08,-10
31,-6.2,-7.51114e-08,-10
32,-6.4,-9.93657e-08,-10
33,-6.6000000000000005,-1.2701e-07,-10
34,-6.800000000000001,-1.58583e-07,-10
35,-7.0,-1.95092e-07,-10
36,-7.2,-2.36324e-07,-10
37,-7.4,-2.76662e-07,-10
38,-7.6000000000000005,-3.29783e-07,-10
39,-7.800000000000001,-3.8927e-07,-10
40,-8.0,-4.5535e-07,-10
41,-8.200000000000001,-5.27534e-07,-10
42,-8.4,-6.06722e-07,-10
43,-8.6,-6.93241e-07,-10
44,-8.8,-7.87194e-07,-10
45,-9.0,-8.88621e-07,-10
46,-9.200000000000001,-9.96804e-07,-10
47,-9.4,-1.1132e-06,-10
48,-9.600000000000001,-1.23885e-06,-10
49,-9.8,-1.37241e-06,-10
