,Vds,Ids,Vgs
0,0.0,9.02414e-10,-10
1,-0.2,-3.13073e-07,-10
2,-0.4,-5.94934e-07,-10
3,-0.6000000000000001,-8.60709e-07,-10
4,-0.8,-1.10969e-06,-10
5,-1.0,-1.32999e-06,-10
6,-1.2000000000000002,-1.52808e-06,-10
7,-1.4000000000000001,-1.70987e-06,-10
8,-1.6,-1.87822e-06,-10
9,-1.8,-2.03192e-06,-10
10,-2.0,-2.17217e-06,-10
11,-2.2,-2.30106e-06,-10
12,-2.4000000000000004,-2.41546e-06,-10
13,-2.6,-2.51829e-06,-10
14,-2.8000000000000003,-2.61111e-06,-10
15,-3.0,-2.69383e-06,-10
16,-3.2,-2.76645e-06,-10
17,-3.4000000000000004,-2.8305e-06,-10
18,-3.6,-2.88435e-06,-10
19,-3.8000000000000003,-2.92918e-06,-10
20,-4.0,-2.96706e-06,-10
21,-4.2,-2.9981e-06,-10
22,-4.4,-3.02425e-06,-10
23,-4.6000000000000005,-3.04739e-06,-10
24,-4.800000000000001,-3.06046e-06,-10
25,-5.0,-3.07554e-06,-10
26,-5.2,-3.08557e-06,-10
27,-5.4,-3.09438e-06,-10
28,-5.6000000000000005,-3.10101e-06,-10
29,-5.800000000000001,-3.10519e-06,-10
30,-6.0,-3.10985e-06,-10
31,-6.2,-3.11304e-06,-10
32,-6.4,-3.1138e-06,-10
33,-6.6000000000000005,-3.11455e-06,-10
34,-6.800000000000001,-3.11354e-06,-10
35,-7.0,-3.11284e-06,-10
36,-7.2,-3.1119e-06,-10
37,-7.4,-3.11296e-06,-10
38,-7.6000000000000005,-3.10986e-06,-10
39,-7.800000000000001,-3.10724e-06,-10
40,-8.0,-3.10252e-06,-10
41,-8.200000000000001,-3.09868e-06,-10
42,-8.4,-3.09735e-06,-10
43,-8.6,-3.09431e-06,-10
44,-8.8,-3.09226e-06,-10
45,-9.0,-3.0924e-06,-10
46,-9.200000000000001,-3.08933e-06,-10
47,-9.4,-3.08697e-06,-10
48,-9.600000000000001,-3.0804e-06,-10
49,-9.8,-3.07708e-06,-10
