,Vgs,Ids,Vds
0,0.0,-4.1604e-10,-10
1,-0.2,1.28746e-10,-10
2,-0.4,1.64509e-10,-10
3,-0.6000000000000001,1.66893e-10,-10
4,-0.8,1.8239e-10,-10
5,-1.0,1.9908e-10,-10
6,-1.2000000000000002,1.90735e-10,-10
7,-1.4000000000000001,1.97887e-10,-10
8,-1.6,1.97887e-10,-10
9,-1.8,2.01464e-10,-10
10,-2.0,2.02656e-10,-10
11,-2.2,2.07424e-10,-10
12,-2.4000000000000004,1.88351e-10,-10
13,-2.6,2.06232e-10,-10
14,-2.8000000000000003,2.18153e-10,-10
15,-3.0,2.01464e-10,-10
16,-3.2,1.75238e-10,-10
17,-3.4000000000000004,8.46386e-11,-10
18,-3.6,-2.51532e-10,-10
19,-3.8000000000000003,-1.20759e-09,-10
20,-4.0,-3.50952e-09,-10
21,-4.2,-8.13365e-09,-10
22,-4.4,-1.6216e-08,-10
23,-4.6000000000000005,-2.82001e-08,-10
24,-4.800000000000001,-4.51696e-08,-10
25,-5.0,-6.68871e-08,-10
26,-5.2,-9.45878e-08,-10
27,-5.4,-1.27928e-07,-10
28,-5.6000000000000005,-1.66459e-07,-10
29,-5.800000000000001,-2.10596e-07,-10
30,-6.0,-2.6116e-07,-10
31,-6.2,-3.18269e-07,-10
32,-6.4,-3.8262e-07,-10
33,-6.6000000000000005,-4.53387e-07,-10
34,-6.800000000000001,-5.31625e-07,-10
35,-7.0,-6.19183e-07,-10
36,-7.2,-7.15128e-07,-10
37,-7.4,-8.20061e-07,-10
38,-7.6000000000000005,-9.33567e-07,-10
39,-7.800000000000001,-1.0563e-06,-10
40,-8.0,-1.17301e-06,-10
41,-8.200000000000001,-1.31687e-06,-10
42,-8.4,-1.47101e-06,-10
43,-8.6,-1.63514e-06,-10
44,-8.8,-1.80953e-06,-10
45,-9.0,-1.99653e-06,-10
46,-9.200000000000001,-2.1952e-06,-10
47,-9.4,-2.40507e-06,-10
48,-9.600000000000001,-2.62511e-06,-10
49,-9.8,-2.85768e-06,-10
