,Vc,Vout
0,-0.1,-4.23821
1,-0.30000000000000004,-9.89145
2,-0.5000000000000001,-9.92861
3,-0.7000000000000001,-9.94257
4,-0.9000000000000001,-9.95063
5,-1.1000000000000003,-9.95607
6,-1.3000000000000003,-9.96036
7,-1.5000000000000004,-9.96352
8,-1.7000000000000004,-9.96665
9,-1.9000000000000004,-9.96938
10,-2.1000000000000005,-9.97186
11,-2.3000000000000007,-9.97362
12,-2.5000000000000004,-9.97546
13,-2.7000000000000006,-9.97657
14,-2.900000000000001,-9.97762
15,-3.1000000000000005,-9.97883
16,-3.3000000000000007,-9.97941
17,-3.500000000000001,-9.97584
18,-3.7000000000000006,-9.94088
19,-3.900000000000001,-9.81132
20,-4.1000000000000005,-9.47303
21,-4.300000000000001,-8.75617
22,-4.500000000000001,-7.58069
23,-4.7,-6.01088
24,-4.9,-4.14212
25,-5.1000000000000005,-2.25144
26,-5.300000000000001,-1.3991
27,-5.500000000000001,-0.878463
28,-5.700000000000001,-0.468366
29,-5.9,-0.222967
30,-6.1000000000000005,-0.114279
31,-6.300000000000001,-0.0694561
32,-6.500000000000001,-0.048914
33,-6.700000000000001,-0.0373864
34,-6.900000000000001,-0.0301957
35,-7.100000000000001,-0.0254416
36,-7.300000000000001,-0.0219774
37,-7.500000000000001,-0.0193143
38,-7.700000000000001,-0.0172567
39,-7.900000000000001,-0.0157213
40,-8.100000000000001,-0.0143504
41,-8.3,-0.0132251
42,-8.500000000000002,-0.0122976
43,-8.700000000000001,-0.0115085
44,-8.900000000000002,-0.0107861
45,-9.100000000000001,-0.0101972
46,-9.3,-0.00967264
47,-9.500000000000002,-0.00921249
48,-9.700000000000001,-0.00878334
49,-9.900000000000002,-0.00841618
